Versi Dokumen,Sprint,Tanggal,Minggu,Bulan,Person,Modul,Task,Tipe,Estimasi (jam),Status,Catatan
v1.0.0,Sprint 1,2025-01-06,Week 1,Bulan 1,Ido Refael Siregar,Setup,Init Laravel 11 + Inertia.js v2 + React 18 + TypeScript,Setup,2,Not Started,composer create-project + npm install
v1.0.0,Sprint 1,2025-01-06,Week 1,Bulan 1,Ido Refael Siregar,Setup,Konfigurasi Tailwind CSS + shadcn/ui + Daiku theme token,Setup,2,Not Started,"warna daiku-yellow, border radius, font"
v1.0.0,Sprint 1,2025-01-07,Week 1,Bulan 1,Ido Refael Siregar,Setup,"Setup Docker Compose: postgres, redis, soketi, nginx",Setup,4,Not Started,docker-compose.yml lengkap
v1.0.0,Sprint 1,2025-01-08,Week 1,Bulan 1,Ido Refael Siregar,Auth,Install Laravel Breeze + Spatie Permission + seed 9 roles,Backend,4,Not Started,"role: CEO,Marketing,Designer,dll"
v1.0.0,Sprint 1,2025-01-09,Week 1,Bulan 1,Ido Refael Siregar,Auth,Middleware RBAC + route group per role (web.php),Backend,4,Not Started,
v1.0.0,Sprint 1,2025-01-10,Week 1,Bulan 1,Ido Refael Siregar,Auth,Redirect post-login per role + AppLayout.tsx (sidebar+topbar),Fullstack,4,Not Started,
v1.0.0,Sprint 1,2025-01-06,Week 1,Bulan 1,Jonathan Sigalingging,Setup,"Clone repo + setup local environment (PHP 8.3, Node, MySQL, Redis)",Setup,2,Not Started,
v1.0.0,Sprint 1,2025-01-06,Week 1,Bulan 1,Jonathan Sigalingging,Setup,Belajar: Laravel 11 basics + Eloquent ORM (dokumentasi resmi),Learning,2,Not Started,
v1.0.0,Sprint 1,2025-01-07,Week 1,Bulan 1,Jonathan Sigalingging,Setup,Belajar: Inertia.js konsep + cara kerja page component,Learning,2,Not Started,
v1.0.0,Sprint 1,2025-01-07,Week 1,Bulan 1,Jonathan Sigalingging,Setup,"Database migration: users, roles, permissions (Spatie)",Backend,2,Not Started,
v1.0.0,Sprint 1,2025-01-08,Week 1,Bulan 1,Jonathan Sigalingging,Setup,"Buat komponen UI dasar: Button, Card, Badge, StatusChip",Frontend,4,Not Started,shadcn + Daiku theme
v1.0.0,Sprint 1,2025-01-09,Week 1,Bulan 1,Jonathan Sigalingging,Setup,"Buat komponen: Table (TanStack), Modal, Dropdown, PageHeader",Frontend,4,Not Started,
v1.0.0,Sprint 1,2025-01-10,Week 1,Bulan 1,Jonathan Sigalingging,Setup,"Buat komponen: Form input, Select, DatePicker, Textarea + AuthLayout",Frontend,4,Not Started,React Hook Form + Zod
v1.0.0,Sprint 1,2025-01-13,Week 2,Bulan 1,Ido Refael Siregar,Auth,Login page UI + error handling Inertia form,Frontend,2,Not Started,
v1.0.0,Sprint 1,2025-01-13,Week 2,Bulan 1,Ido Refael Siregar,Auth,User Management: CRUD user + assign role,Fullstack,2,Not Started,
v1.0.0,Sprint 1,2025-01-14,Week 2,Bulan 1,Ido Refael Siregar,CRM,"Database migration: leads, pipeline_logs",Backend,4,Not Started,
v1.0.0,Sprint 1,2025-01-15,Week 2,Bulan 1,Ido Refael Siregar,CRM,Lead model + PipelineLog model + relasi Eloquent,Backend,4,Not Started,"scope: byStatus, byPriority"
v1.0.0,Sprint 1,2025-01-16,Week 2,Bulan 1,Ido Refael Siregar,CRM,LeadController + StoreLeadRequest + LeadService,Backend,4,Not Started,thin controller pattern
v1.0.0,Sprint 1,2025-01-17,Week 2,Bulan 1,Ido Refael Siregar,CRM,Lead index page: tabel + filter status/prioritas,Frontend,4,Not Started,
